Effect,OddsRatioEst,LowerCL,UpperCL
ret,0.320,0.303,0.337
beta_lag,1.529,1.488,1.570
size_lag,0.659,0.649,0.669
btm_lag,1.555,1.490,1.623
d2005,0.548,0.489,0.613
d2006,0.518,0.462,0.581
d2007,0.574,0.512,0.644
d2008,0.835,0.745,0.937
d2009,1.531,1.373,1.708
d2010,0.742,0.664,0.830
d2011,0.531,0.473,0.596
d2012,0.674,0.601,0.756
ff12_1,0.618,0.536,0.713
ff12_2,0.873,0.733,1.038
ff12_3,0.585,0.525,0.653
ff12_4,1.237,1.084,1.411
ff12_5,0.636,0.522,0.776
ff12_6,1.055,0.969,1.148
ff12_7,1.526,1.314,1.774
ff12_8,0.359,0.281,0.459
ff12_9,0.534,0.476,0.598
ff12_10,2.890,2.625,3.181
ff12_11,0.388,0.355,0.424
